step,loss,accuracy,lr,seconds
8900,0.63487,0.8125,1.128e-06,1168.2
8925,0.58029,0.8750,1.069e-06,1171.5
8950,0.62428,0.8125,1.010e-06,1174.8
8975,0.58529,0.7500,9.505e-07,1178.0
9000,0.63301,0.6875,8.912e-07,1181.3
9025,0.70527,0.6250,8.320e-07,1185.6
9050,0.83823,0.5625,7.727e-07,1188.7
9075,0.69521,0.6250,7.134e-07,1191.9
9100,0.81067,0.6250,6.542e-07,1195.2
9125,0.73599,0.6250,5.949e-07,1198.5
9150,0.99336,0.5000,5.357e-07,1201.6
9175,1.03145,0.4375,4.764e-07,1204.8
9200,0.88659,0.5625,4.172e-07,1208.0
9225,0.60460,0.7500,3.579e-07,1211.1
9250,0.70743,0.7500,2.986e-07,1214.6
9275,0.73538,0.6875,2.394e-07,1218.6
9300,0.74355,0.8125,1.801e-07,1509.5
9325,0.85973,0.6875,1.209e-07,1512.7
9350,0.72972,0.6875,6.163e-08,1515.8
9375,0.94787,0.6250,2.370e-09,1518.8
